Date,Open,High,Low,Close,Volume,AdjClose
2014-03-17,14254.32,14359.16,14203.21,14277.67,138000,14277.67
2014-03-14,14526.28,14539.60,14280.75,14327.66,236100,14327.66
2014-03-13,14847.72,14919.84,14790.48,14815.98,116200,14815.98
2014-03-12,15003.80,15020.14,14828.18,14830.39,141300,14830.39
2014-03-11,15179.47,15256.03,15124.36,15224.11,119100,15224.11
2014-03-10,15197.53,15266.12,15088.11,15120.14,121100,15120.14
2014-03-07,15280.76,15312.60,15145.59,15274.07,138500,15274.07
2014-03-06,14933.76,15203.12,14871.56,15134.75,150000,15134.75
2014-03-05,14905.95,14992.19,14897.63,14897.63,134000,14897.63
2014-03-04,14553.95,14750.09,14546.34,14721.48,125600,14721.48
2014-03-03,14666.93,14684.70,14443.10,14652.23,146900,14652.23
2014-02-28,14929.55,14943.65,14735.52,14841.07,160500,14841.07
2014-02-27,14939.87,15015.01,14844.37,14923.11,160300,14923.11
2014-02-26,14896.49,15084.53,14896.49,14970.97,126600,14970.97
2014-02-25,15002.51,15094.54,14957.49,15051.60,139500,15051.60
2014-02-24,14803.64,14982.53,14658.14,14837.68,159500,14837.68
2014-02-21,14618.61,14888.81,14618.61,14865.67,138700,14865.67
2014-02-20,14701.14,14731.48,14428.73,14449.18,172000,14449.18
2014-02-19,14729.48,14805.66,14679.19,14766.53,153900,14766.53
2014-02-18,14514.47,14900.24,14469.49,14843.24,206500,14843.24
2014-02-17,14343.73,14427.95,14214.60,14393.11,149000,14393.11
2014-02-14,14538.20,14678.71,14243.17,14313.03,204200,14313.03
2014-02-13,14785.84,14787.62,14488.32,14534.74,148400,14534.74
2014-02-12,14821.73,14874.79,14769.04,14800.06,165100,14800.06
2014-02-10,14647.83,14725.92,14568.30,14718.34,149800,14718.34
2014-02-07,14387.11,14471.95,14356.59,14462.41,186100,14462.41
2014-02-06,14233.42,14308.07,14155.12,14155.12,192900,14155.12
2014-02-05,14213.10,14245.06,13995.86,14180.38,280200,14180.38
2014-02-04,14353.33,14355.92,14008.47,14008.47,294300,14008.47
2014-02-03,14788.56,14846.93,14615.05,14619.13,202800,14619.13
2014-01-31,15132.23,15143.88,14764.57,14914.53,217400,14914.53
2014-01-30,15112.70,15112.70,14853.83,15007.06,221200,15007.06
2014-01-29,15164.34,15383.91,15159.92,15383.91,164800,15383.91
